"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Verkeersregelinstallatie"	"{DB7E8C50-1E80-4e1c-AA78-CCAF4368E187}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"BekledingComponent"	"{45AC1FD9-7B4B-42c2-8D32-AD24FA14CDB7}"	""	""	""	""	"Bekleding component"	"Abstracte voor componenten die als bekleding worden bevestigd op andere elementen."	""	"Bekleding component"	"Abstracte voor componenten die als bekleding worden bevestigd op andere elementen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"BekledingComponent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ConstructieElement"	"{D5C0D1AF-D110-4538-AE95-CF5A1C17142C}"	""	""	""	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"ConstructieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Contactor"	"{C88884B8-81A5-46bb-A4E8-D994B1DA4A2A}"	""	""	""	""	"Contactor"	"Toestel dat ter plaatse of op afstand aangestuurd wordt om (grote) vermogensstromen af te schakelen."	""	"Contactor"	"Toestel dat ter plaatse of op afstand aangestuurd wordt om (grote) vermogensstromen af te schakelen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Contactor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"PLC"	"{974BEC4A-0839-4a8c-90F9-7FC8DC23F538}"	""	""	""	""	"PLC"	"Een verwerkingseenheid die volgens een vaste cyclus op basis van informatie van zijn ingangen, zijn uitgangen aanstuurt op basis van zijn programma. Omwille van zijn vormfactor kan de eenheid gebruikt worden in een vijandige omgeving."	""	"PLC"	"Een verwerkingseenheid die volgens een vaste cyclus op basis van informatie van zijn ingangen, zijn uitgangen aanstuurt op basis van zijn programma. Omwille van zijn vormfactor kan de eenheid gebruikt worden in een vijandige omgeving."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"PLC"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Controller"	""	""
"CLASS"	"OSLO-Abstracten"	"ZenderOntvangerToegang"	"{8160AD2D-F10E-433d-AEE7-3318C080B749}"	""	""	""	""	"Communicatieapparatuur"	"Abstracte voor relaties van Zender,Ontvanger en Repeater met andere apparatuur."	""	"Communicatieapparatuur"	"Abstracte voor relaties van Zender,Ontvanger en Repeater met andere apparatuur."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"ZenderOntvangerToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Communicatieapparatuur, https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#FirmwareObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Wegkantkast"	"{D8D4683C-22EB-43ab-880B-3B2A33BCD00B}"	""	""	""	""	"Wegkantkast"	"Behuizing in de vorm van kast typisch gebruikt buiten,langs de kant van de weg."	""	"Wegkantkast"	"Behuizing in de vorm van kast typisch gebruikt buiten,langs de kant van de weg."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Wegkantkast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Buitenkast"	""	""
"CLASS"	"OSLO-Onderdeel"	"Lichtsensor"	"{A079B7A0-A232-4af6-806F-A1A1429704F7}"	""	""	""	""	"Lichtsensor"	"Sensor die de intensiteit van het invallende licht meet."	""	"Lichtsensor"	"Sensor die de intensiteit van het invallende licht meet."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Lichtsensor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"IOKaart"	"{F9E51BF7-EA80-4a87-A9B4-4EB458BB9CF8}"	""	""	""	""	"IO-Kaart"	"Een kaart of module die gebruikt wordt voor de ingang of uitgang van een verwerkingseenheid (bv. een PLC). Op de IO-kaart worden perifere toestellen en sensoren aangesloten."	""	"IO-Kaart"	"Een kaart of module die gebruikt wordt voor de ingang of uitgang van een verwerkingseenheid (bv. een PLC). Op de IO-kaart worden perifere toestellen en sensoren aangesloten."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"IOKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"StroomMeetmodule"	"{0E5A3BB2-5BC1-4bcb-9079-64A949EEA7F4}"	""	""	""	""	"StroomMeetmodule"	"Differentieel dat de spanning detecteert op de leidingen detecteert en fouten doorgeeft naar de PLC."	""	"StroomMeetmodule"	"Differentieel dat de spanning detecteert op de leidingen detecteert en fouten doorgeeft naar de PLC."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"StroomMeetmodule"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
